ULID,NR,HID_A,HID_B,HAELT
1025002,17,10226,10258,+
1025002,18,10258,10243,+
1025002,19,10243,10298,+
1025002,20,10298,10228,+
1025002,21,10228,10196,+
1025002,22,10196,10248,+
1025002,23,10248,10153,+
1025003,1,10228,10298,+
1025003,2,10298,10243,+
1025003,3,10243,10258,+
1025003,4,10258,10226,+
1025003,5,10226,10155,+
1025003,6,10155,10145,+
1025003,7,10145,10317,+
1025003,8,10317,10288,-
1025003,9,10288,10190,+
1025003,10,10190,10314,-
1025003,11,10314,10151,+
1025003,12,10151,10271,-
1025003,13,10271,10269,+
1025004,1,10269,10271,-
1025004,2,10271,10151,+
1025004,3,10151,10314,-
1025004,4,10314,10190,+
1025004,5,10190,10288,-
1025004,6,10288,10317,+
1025004,7,10317,10145,+
1025004,8,10145,10155,+
1025004,9,10155,10226,+
1025004,10,10226,10258,+
1025004,11,10258,10243,+
1025004,12,10243,10298,+
1025004,13,10298,10228,+
1026001,1,10166,10296,+
1026001,2,10296,10315,+
1026001,3,10315,10214,+
1026001,4,10214,10148,+
1026001,5,10148,10189,+
1026001,6,10189,10220,+
1026001,7,10220,10303,+
1026001,8,10303,10245,+
1026001,9,10245,10179,+
1026001,10,10179,10223,+
1026001,11,10223,10309,+
1026001,12,10309,10192,+
1026001,13,10192,10172,+
1026001,14,10172,10186,+
1026001,15,10186,10249,+
1026001,16,10249,10262,+
1026001,17,10262,10269,+
1026002,1,10269,10262,+
1026002,2,10262,10249,+
1026002,3,10249,10186,+
1026002,4,10186,10172,+
1026002,5,10172,10192,+
1026002,6,10192,10309,+
1026002,7,10309,10223,+
1026002,8,10223,10179,+
1026002,9,10179,10245,+
1026002,10,10245,10303,+
1026002,11,10303,10220,+
1026002,12,10220,10189,+
1026002,13,10189,10148,+
1026002,14,10148,10214,+
1026002,15,10214,10315,+
1026002,16,10315,10296,+
1026002,17,10296,10166,+
1026003,1,10189,10220,-
1026003,2,10220,10303,+
1026003,3,10303,10245,+
1026003,4,10245,10179,+
1026003,5,10179,10223,+
1026003,6,10223,10309,-
1026003,7,10309,10192,+
1026003,8,10192,10172,-
1026003,9,10172,10186,+
1026003,10,10186,10249,+
1026003,11,10249,10262,+
1026003,12,10262,10269,+
1026004,1,10269,10262,+
1026004,2,10262,10249,+
1026004,3,10249,10186,+
1026004,4,10186,10172,-
1026004,5,10172,10192,+
1026004,6,10192,10309,-
1026004,7,10309,10223,+
1026004,8,10223,10179,+
1026004,9,10179,10245,+
1026004,10,10245,10303,+
1026004,11,10303,10220,-
1026004,12,10220,10189,+
